Player,Team,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,FPTS,high,low
Pittsburgh Steelers,,48.6,14.8,13.3,26,2.8,0.9,321.6,4994.8,123.3,144.7,116.3
San Francisco 49ers,,46.4,14.3,12.4,24,3,0.2,321.4,4910.9,118.4,136.9,111.4
Los Angeles Rams,,45.6,14.2,11.8,22,3.2,0.5,350.3,5326.7,117.6,135.5,107.9
New England Patriots,,42,15.7,10.9,19,3,0.8,317.8,5131.6,115.1,140.7,110.3
Baltimore Ravens,,39.5,14.7,10.6,21,3.3,0.5,301.6,4981.6,110.6,121.3,111.6
Minnesota Vikings,,44.3,13.6,11.3,22,2.4,0.9,334.7,5342.1,110.3,129.6,107.2
Kansas City Chiefs,,41.8,15.1,9.6,15,3,0.2,333.7,5582.1,109.3,124,110.2
Philadelphia Eagles,,40.2,14.6,10.7,15,2.9,0.5,360,5522.4,108.9,122,106.9
New Orleans Saints,,43.4,12.6,11.3,20,2.7,0.5,353.9,5494.6,108.1,124.9,104.9
Buffalo Bills,,40.5,14.1,10.3,16,2.7,0.5,305.2,4847.8,106.3,118.5,107.5
Tampa Bay Buccaneers,,39.1,13,11.3,24,2.9,0.2,381.8,5346.6,105.6,119.4,101.7
Indianapolis Colts,,42.5,13.4,10.2,17,2.3,0.9,361.3,5421.2,105.4,112.9,107
Green Bay Packers,,40.7,14.8,9.5,15,2.3,0.5,356.5,5695.8,104.2,114.8,92
Seattle Seahawks,,35.2,13.8,12.4,24,2.7,0.2,370.2,5836.4,104.2,121.3,96
Cleveland Browns,,40,14.3,10.2,16,2.2,0.5,374.1,5737.2,103.4,113.5,97
Denver Broncos,,40.1,13.1,9.7,16,2.6,0.5,348.8,5408,102.1,107.8,98
Carolina Panthers,,44.1,12.3,9.6,16,2.1,0.8,416.3,5707.5,101.9,120.7,91.7
Washington Football Team,,43,12.2,10.5,18,2.2,0.2,397.5,5841.8,101.9,124.1,97
Dallas Cowboys,,40.3,11.8,11.3,21,2.3,0.2,342.3,5363.5,100.6,112.4,83
Tennessee Titans,,37.5,13.3,9.6,16,2.5,0.2,331.4,5498.3,98.9,109.2,89
Houston Texans,,33.7,12.9,11.2,20,2.7,0.2,375.1,5831.3,98.5,102,96.4
Jacksonville Jaguars,,39.6,11.8,10,18,2.4,0.5,409.3,6061.8,98.4,104.2,97
New York Jets,,34.8,13.2,9.7,16,2.7,0.6,376.7,5383.8,98.1,103.4,95
Arizona Cardinals,,40.4,10.7,10.4,18,2.5,0.2,395.8,5947.5,97.7,105.7,87
Chicago Bears,,35.1,12.6,10.6,18,2.3,0.5,330.8,5370.2,96.6,109.4,86
New York Giants,,36,13.2,9,13,2.4,0.5,411.5,5809.2,95.9,102,94
Cincinnati Bengals,,36.2,13.2,8.6,14,2.4,0.5,417.3,6237.4,95.2,102.7,83
Las Vegas Raiders,,35.7,12.7,8.6,12,2.5,0.5,404.5,5818.6,94.1,102.5,81
Detroit Lions,,33.5,11.3,10.3,18,2.3,0.2,382,5862.7,90.9,99.8,92
Los Angeles Chargers,,35,12.4,8.4,11,2.3,0.2,365.9,5465.5,90.7,103.6,87
Atlanta Falcons,,32.1,12.6,8.5,15,2.5,0.2,399.6,5918.6,89.8,98.1,83
Miami Dolphins,,30.8,13.5,7.6,10,2.1,0.5,412.8,5888.6,86.8,94.7,84
