Player,Team,FG,FGA,XPT,FPTS,high,low
Harrison Butker,KC,28.1,33.6,46.6,130.9,148.1,113.3
Wil Lutz,NO,27.8,32.9,46.9,130.3,147,114
Justin Tucker,BAL,26.4,30.4,47.6,126.9,142,112.8
Robbie Gould,SF,26.8,31.6,41.8,122.1,130,119
Greg Zuerlein,DAL,25.9,31.8,43.5,121.1,134.7,105.5
Jason Myers,SEA,25.6,30.2,38.8,115.6,132.7,112
Dan Bailey,MIN,25.2,30,37.8,113.5,130.5,102.5
Matt Prater,DET,25.6,31.1,36.1,112.8,121.9,103.3
Younghoe Koo,ATL,25.1,30,36.6,112,123,108.7
Austin Seibert,CLE,26.2,30.8,33.4,111.9,124.7,110.7
Jake Elliott,PHI,25.4,29.4,35.8,111.8,125.2,109
Ryan Succop,TB,24.8,31.4,36.9,111.2,116,112.5
Zane Gonzalez,ARI,25.3,31.8,35.2,111.2,122,98.9
Chris Boswell,PIT,25.5,30.7,34,110.7,118.5,105.8
Ka'imi Fairbairn,HOU,24.6,30.1,36.2,110.1,135.1,97.5
Mason Crosby,GB,23.3,27.3,40.1,110.1,131.2,104
Brandon McManus,DEN,25.3,30.8,34,109.9,118.5,107.6
Michael Badgley,LAC,24.4,27.4,35.2,108.5,120.1,99
Sam Sloman,LAR,24.6,30.6,34.4,108.3,122.1,94.6
Jason Sanders,MIA,24.2,28.9,34.9,107.7,123.8,101
Randy Bullock,CIN,25.3,28.1,30.6,106.6,114.7,105
Josh Lambo,JAC,24.7,27.7,32.5,106.6,125.5,101.3
Stephen Gostkowski,TEN,23.2,27.5,37,106.5,126.7,87
Tyler Bass,BUF,23.9,30,32.7,104.4,120.9,96.9
Joey Slye,CAR,24.3,29.2,31.1,104,117.3,103
Daniel Carlson,LV,22.4,28,35.5,102.7,118.7,96
Graham Gano,NYG,21.6,25.9,33.1,97.8,106.1,90
Dustin Hopkins,WAS,23,27.3,28.2,97.2,122.4,90
Sam Ficken,NYJ,22.1,28.6,29.8,96,105.4,89
Eddy Pineiro,CHI,21.9,25.6,27.8,93.5,119.8,57
Justin Rohrwasser,NE,14.8,15,20.2,64.8,111,0
Cairo Santos,CHI,9,13,10,37,37,37
